nom;canton
Vilars NE;Neuchâtel
Villiers;Neuchâtel
Boveresse;Neuchâtel
Buttes;Neuchâtel
Couvet;Neuchâtel
Fleurier;Neuchâtel
Les Bayards;Neuchâtel
Les Sagnettes;Neuchâtel
Mont-de-Buttes;Neuchâtel
Môtiers NE;Neuchâtel
Noiraigue;Neuchâtel
St-Sulpice NE;Neuchâtel
Travers;Neuchâtel
Champoussin;Valais
Les Crosets;Valais
Val-d'Illiez;Valais
Valeyres-sous-Montagny;Vaud
Valeyres-sous-Rances;Vaud
Valeyres-sous-Ursins;Vaud
Vallon;Fribourg
Vallorbe;Vaud
Vandoeuvres;Genève
Varen;Valais
Vaulion;Vaud
Vaulruz;Fribourg
Vaux-sur-Morges;Vaud
Vendlincourt;Jura
Vernayaz;Valais
Aïre;Genève
Châtelaine;Genève
Le Lignon;Genève
Les Avanchets;Genève
Vernier;Genève
Vérossaz;Valais
Versoix;Genève
Vétroz;Valais
Vevey;Vaud
Les Collons;Valais
Les Mayens-de-Sion;Valais
Thyon;Valais
Vex;Valais
Vessy;Genève
Veyrier;Genève
Veysonnaz;Valais
Veytaux;Vaud
Vich;Vaud
Villarsel-sur-Marly;Fribourg
Villars-Epeney;Vaud
Villars-le-Comte;Vaud
Villars-le-Terroir;Vaud
Villars-Ste-Croix;Vaud
Villars-sous-Yens;Vaud
Villars-sur-Glâne;Fribourg
Rossens VD;Vaud
Sédeilles;Vaud
Villarzel;Vaud
Lussy FR;Fribourg
Villarimboud;Fribourg
Villaz-St-Pierre;Fribourg
Villeneuve VD;Vaud
Chavannes-sous-Orsonnens;Fribourg
Orsonnens;Fribourg
Villargiroud;Fribourg
Villarsiviriaux;Fribourg
Vinzel;Vaud
Torgon;Valais
Vionnaz;Valais
Eyholz;Valais
Visp;Valais
Visperterminen;Valais
Miex;Valais
Vouvry;Valais
Vuadens;Fribourg
Vuarrens;Vaud
Vucherens;Vaud
Vufflens-la-Ville;Vaud
Vufflens-le-Château;Vaud
Vugelles-La Mothe;Vaud
Estévenens;Fribourg
La Joux FR;Fribourg
La Magne;Fribourg
La Neirigue;Fribourg
Les Ecasseys;Fribourg
Lieffrens;Fribourg
Sommentier;Fribourg
Villariaz;Fribourg
Vuisternens-devant-Romont;Fribourg
Vuiteboeuf;Vaud
Vulliens;Vaud
Vullierens;Vaud
Bellerive VD;Vaud
Chabrey;Vaud
Constantine;Vaud
Cotterd;Vaud
Montmagny;Vaud
Mur (Vully) VD;Vaud
Salavaux;Vaud
Vallamand;Vaud
Villars-le-Grand;Vaud
Wiler (Lötschen);Valais
Flamatt;Fribourg
Wünnewil;Fribourg
Yens;Vaud
Gressy;Vaud
Yverdon-les-Bains;Vaud
Yvonand;Vaud
Yvorne;Vaud
Zeneggen;Valais
Zermatt;Valais
Gondo;Valais
Anniviers;Valais
Avry;Fribourg
Avusy;Genève
Ayent;Valais
Bardonnex;Genève
Bas-Intyamon;Fribourg
Basse-Allaine;Jura
Belmont-Broye;Fribourg
Billens-Hennens;Fribourg
Blatten;Valais
Bois-d'Amont;Fribourg
Bourg-en-Lavaux;Vaud
Bourg-Saint-Pierre;Valais
Brig-Glis;Valais
Carouge (GE);Genève
Châtel-Saint-Denis;Fribourg
Châtillon (FR);Fribourg
Châtillon (JU);Jura
Cheyres-Châbles;Fribourg
Clos du Doubs;Jura
Collex-Bossy;Genève
Collombey-Muraz;Valais
Cornaux;Neuchâtel
Corsier (GE);Genève
Cossonay;Vaud
Cottens (FR);Fribourg
Cottens (VD);Vaud
Crans (VD);Vaud
Cressier (FR);Fribourg
Cressier (NE);Neuchâtel
Cugy (FR);Fribourg
Cugy (VD);Vaud
Delley-Portalban;Fribourg
Dompierre (VD);Vaud
Ecublens (FR);Fribourg
Ecublens (VD);Vaud
Ependes (VD);Vaud
Estavayer;Fribourg
Gampel-Bratsch;Valais
Gibloux;Fribourg
Goms;Valais
Goumoëns;Vaud
Grangettes;Fribourg
Haute-Ajoie;Jura
Hauterive (FR);Fribourg
Hauterive (NE);Neuchâtel
Haute-Sorne;Jura
Haut-Intyamon;Fribourg
Jorat-Menthue;Vaud
Jorat-Mézières;Vaud
La Baroche;Jura
La Brillaz;Fribourg
La Grande Béroche;Neuchâtel
La Roche;Fribourg
La Sagne;Neuchâtel
La Sonnaz;Fribourg
La Tène;Neuchâtel
Lajoux (JU);Jura
Lancy;Genève
Lavey-Morcles;Vaud
Le Bémont (JU);Jura
Le Châtelard;Fribourg
Le Chenit;Vaud
Le Flon;Fribourg
Le Pâquier (FR);Fribourg
Les Genevez (JU);Jura
Les Montets;Fribourg
Leuk;Valais
Lully (FR);Fribourg
Lully (VD);Vaud
Martigny-Combe;Valais
Mex (VD);Vaud
Mézières (FR);Fribourg
Milvignes;Neuchâtel
Misery-Courtion;Fribourg
Moiry;Vaud
Mollens (VD);Vaud
Montagny (FR);Fribourg
Montanaire;Vaud
Montilliez;Vaud
Mont-Noble;Valais
Mont-Vully;Fribourg
Mörel-Filet;Valais
Morrens (VD);Vaud
Nendaz;Valais
Neyruz (FR);Fribourg
Noble-Contrée;Valais
Obergoms;Valais
Ollon;Vaud
Onnens (VD);Vaud
Ormont-Dessous;Vaud
Ormont-Dessus;Vaud
Oron;Vaud
Perly-Certoux;Genève
Pont-en-Ogoz;Fribourg
Port-Valais;Valais
Pregny-Chambésy;Genève
Prez;Fribourg
Renens (VD);Vaud
Ried bei Kerzers;Fribourg
Roche (VD);Vaud
Romainmôtier-Envy;Vaud
Romont (FR);Fribourg
Saint-Aubin (FR);Fribourg
Saint-Barthélemy (VD);Vaud
Saint-Blaise;Neuchâtel
Saint-Brais;Jura
Saint-Cergue;Vaud
Sainte-Croix;Vaud
Saint-George;Vaud
Saint-Gingolph;Valais
Saint-Légier-La Chiésaz;Vaud
Saint-Léonard;Valais
Saint-Livres;Vaud
Saint-Martin (FR);Fribourg
Saint-Martin (VS);Valais
Saint-Maurice;Valais
Saint-Oyens;Vaud
Saint-Prex;Vaud
Saint-Saphorin (Lavaux);Vaud
Saint-Sulpice (VD);Vaud
Sâles;Fribourg
Schmitten (FR);Fribourg
Signy-Avenex;Vaud
Simplon;Valais
St. Niklaus;Valais
Stalden (VS);Valais
Steg-Hohtenn;Valais
Tévenon;Vaud
Torny;Fribourg
Turtmann-Unterems;Valais
Unterbäch;Valais
Val de Bagnes;Valais
Val Terbi;Jura
Valbroye;Vaud
Val-de-Charmey;Fribourg
Val-de-Ruz;Neuchâtel
Val-de-Travers;Neuchâtel
Villars-Sainte-Croix;Vaud
Villaz;Fribourg
Villeneuve (VD);Vaud
Villorsonnens;Fribourg
Vully-les-Lacs;Vaud
Wünnewil-Flamatt;Fribourg
Zwischbergen;Valais
