nom;canton
Courtemautruy;Jura
Courgevaux;Fribourg
Courrendlin;Jura
Rebeuvelier;Jura
Vellerat;Jura
Courcelon;Jura
Courroux;Jura
Courtedoux;Jura
Barberêche;Fribourg
Courtaman;Fribourg
Courtepin;Fribourg
Pensier;Fribourg
Villarepos;Fribourg
Wallenried;Fribourg
Courtételle;Jura
Crans VD;Vaud
Aminona;Valais
Champzabé;Valais
Chermignon;Valais
Chermignon-d'en-Bas;Valais
Corin-de-la-Crête;Valais
Crans-Montana;Valais
Loc;Valais
Mollens VS;Valais
Montana;Valais
Ollon VS;Valais
Randogne;Valais
Crassier;Vaud
Cressier FR;Fribourg
Cressier NE;Neuchâtel
Crésuz;Fribourg
Crissier;Vaud
Cronay;Vaud
Croy;Vaud
Cuarnens;Vaud
Cuarny;Vaud
Cudrefin;Vaud
Cugy FR;Fribourg
Vesin;Fribourg
Cugy VD;Vaud
Curtilles;Vaud
Daillens;Vaud
Damphreux;Jura
Dardagny;Genève
La Plaine;Genève
Delémont;Jura
Delley;Fribourg
Portalban;Fribourg
Démoret;Vaud
Denens;Vaud
Denges;Vaud
Develier;Jura
Dizy;Vaud
Dompierre VD;Vaud
Donneloye;Vaud
Gossens;Vaud
Mézery-près-Donneloye;Vaud
Prahins;Vaud
Dorénaz;Valais
Düdingen;Fribourg
Duillier;Vaud
Dully;Vaud
Echallens;Vaud
Echandens;Vaud
Echarlens;Fribourg
Colombier VD;Vaud
Echichens;Vaud
Monnaz;Vaud
St-Saphorin-sur-Morges;Vaud
Eclépens;Vaud
Ecublens FR;Fribourg
Ecublens VD;Vaud
Ederswiler;Jura
Eggerberg;Valais
Eischoll;Valais
Eisten;Valais
Embd;Valais
Kalpetran;Valais
Enges;Neuchâtel
Epalinges;Vaud
Ependes VD;Vaud
Ergisch;Valais
Ausserbinn;Valais
Ernen;Valais
Mühlebach (Goms);Valais
Steinhaus;Valais
Essertes;Vaud
Essertines-sur-Rolle;Vaud
Epautheyres;Vaud
Essertines-sur-Yverdon;Vaud
Autavaux;Fribourg
Bussy FR;Fribourg
Estavayer-le-Lac;Fribourg
Font;Fribourg
Forel FR;Fribourg
Montbrelloz;Fribourg
Morens FR;Fribourg
Murist;Fribourg
Rueyres-les-Prés;Fribourg
Vuissens;Fribourg
Etagnières;Vaud
Etoy;Vaud
Evionnaz;Valais
Arolla;Valais
Evolène;Valais
La Forclaz VS;Valais
La Sage;Valais
La Tour VS;Valais
Lanna;Valais
Les Haudères;Valais
Villa (Evolène);Valais
Eysins;Vaud
Fahy;Jura
Faoug;Vaud
Féchy;Vaud
Ferden;Valais
Goppenstein;Valais
Ferpicloz;Fribourg
Ferreyres;Vaud
Fétigny;Fribourg
Fey;Vaud
Fiesch;Valais
Fieschertal;Valais
Jungfraujoch;Valais
Fiez;Vaud
Finhaut;Valais
Le Châtelard VS;Valais
Fontaines-sur-Grandson;Vaud
Bressaucourt;Jura
Fontenais;Jura
Villars-sur-Fontenais;Jura
Forel (Lavaux);Vaud
Founex;Vaud
Fräschels;Fribourg
Bourguillon;Fribourg
Fribourg;Fribourg
Froideville;Vaud
Fully;Valais
Galmiz;Fribourg
Bratsch;Valais
Gampel;Valais
Niedergampel;Valais
Gempenach;Fribourg
Genève;Genève
Les Acacias;Genève
Genolier;Vaud
Genthod;Genève
Corpataux;Fribourg
Estavayer-le-Gibloux;Fribourg
Farvagny-le-Grand;Fribourg
Farvagny-le-Petit;Fribourg
Grenilles;Fribourg
Magnedens;Fribourg
Posat;Fribourg
Rossens FR;Fribourg
Rueyres-St-Laurent;Fribourg
Villarlod;Fribourg
Villarsel-le-Gibloux;Fribourg
Vuisternens-en-Ogoz;Fribourg
Giez;Vaud
Giffers;Fribourg
Gilly;Vaud
Gimel;Vaud
Gingins;Vaud
Givisiez;Fribourg
Givrins;Vaud
Gland;Vaud
Gletterens;Fribourg
Gollion;Vaud
Biel VS;Valais
Blitzingen;Valais
Geschinen;Valais
Gluringen;Valais
Münster VS;Valais
Niederwald;Valais
Reckingen VS;Valais
Ritzingen;Valais
Selkingen;Valais
Eclagnens;Vaud
Goumoens-la-Ville;Vaud
Goumoens-le-Jux;Vaud
Grächen;Valais
Grancy;Vaud
Grandcour;Vaud
Grandevent;Vaud
Grandfontaine;Jura
Grandson;Vaud
Grandvillard;Fribourg
Granges (Veveyse);Fribourg
Granges-Paccot;Fribourg
Grangettes-près-Romont;Fribourg
Greng;Fribourg
Grengiols;Valais
Grens;Vaud
Champlan (Grimisuat);Valais
Grimisuat;Valais
Grolley;Fribourg
Grône;Valais
Epagny;Fribourg
Gruyères;Fribourg
Moléson-sur-Gruyères;Fribourg
Pringy;Fribourg
Gryon;Vaud
Cordast;Fribourg
Gurmels;Fribourg
Guschelmuth;Fribourg
Kleingurmels;Fribourg
Liebistorf;Fribourg
Wallenbuch;Fribourg
Guttet-Feschel;Valais
Gy;Genève
Chevenez;Jura
Damvant;Jura
Réclère;Jura
Roche-d'Or;Jura
Rocourt;Jura
Ecuvillens;Fribourg
Posieux;Fribourg
Hauterive NE;Neuchâtel
Bassecourt;Jura
Courfaivre;Jura
Glovelier;Jura
Soulce;Jura
Undervelier;Jura
Hauteville;Fribourg
Albeuve;Fribourg
Les Sciernes-d'Albeuve;Fribourg
Lessoc;Fribourg
